Title,Model,Gold Weight,Brilliant Weight,Brilliant Type,Color Grade,Clarity,Polish,Quality Type,Guaranty Type,Stone Weight,Price
حلقه ازدواج ست طلای زرد و سفید با نگین الماس تراش برلیان , srd1554,13/970,1/37 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,114250000
حلقه ازدواج ست طلا با نگین الماس تراش برلیان , srd1553,11/860,1/16 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,96920000
حلقه ست ازدواج طلا با نگین الماس تراش برلیان طرح بینهایت , srd1552,10/510,1/03 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,85920000
حلقه ست ازدواج طلا با نگین الماس تراش برلیان , srd1551,10/180,1/00 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,83250000
حلقه ست ازدواج طلا با نگین الماس تراش برلیان , srd1550,9/970,0/98 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,81510000
حلقه ست ازدواج طلا با نگین الماس تراش برلیان , srd1549,18/140,1/19 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,120700000
 حلقه ازدواج ست طلا با نگین الماس تراش برلیان , srd1548,10/400,1/02 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,84980000
 حلقه ازدواج ست طلا با نگین الماس تراش برلیان , srd1547,14/380,1/41 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,117590000
 حلقه ازدواج ست طلا با نگین الماس تراش برلیان , srd1546,11/070,1/08 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,90460000
 حلقه ازدواج ست طلا با نگین الماس تراش برلیان , srd1545,8/660,0/85 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,70820000
 حلقه ست طلای سه رنگ با نگین الماس تراش برلیان , srd1544,8/370,0/82 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,68410000
 حلقه ازدواج ست طلای دو رنگ با نگین الماس تراش برلیان , srd1543,6/310,0/62 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,51580000
حلقه ازدواج ست طلا زرد و سفید با نگین الماس تراش برلیان , srd1542,12/910,1/27 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,105560000
